"WBIC","species","surveyYear","county","meanEF_CPEkm","totalFishCaught","totalDistShockedKm","totalHoursSampled","std","N"
322800,"BLUEGILL",2010,"SHAWANO",12.6635763729231,163,4.970968,4.117,NA,1
322800,"BLUEGILL",2014,"SHAWANO",8.00328084804951,103,4.970968,4.425,NA,1
322800,"YELLOW PERCH",2006,"SHAWANO",2.93909304435359,26,3.4175405,2.5,NA,1
322800,"YELLOW PERCH",2010,"SHAWANO",1.63421029738899,21,4.970968,4.117,NA,1
322800,"YELLOW PERCH",2014,"SHAWANO",0.93205910497471,12,4.970968,4.425,NA,1
323800,"BLACK CRAPPIE",2015,"SHAWANO",5.4805075372513,30,2.1126614,1.742,NA,1
323800,"BLUEGILL",2015,"SHAWANO",28.1419712428697,154,2.1126614,1.742,NA,1
323800,"YELLOW PERCH",2015,"SHAWANO",4.20669342711919,23,2.1126614,1.742,NA,1
324000,"BLACK CRAPPIE",2014,"SHAWANO",1.63421029738899,2,0.47224196,0.517,NA,1
324000,"BLUEGILL",2014,"SHAWANO",47.4231672611132,58,0.47224196,0.517,NA,1
324000,"YELLOW PERCH",2014,"SHAWANO",3.26842059477798,4,0.47224196,0.517,NA,1
325400,"BLACK CRAPPIE",2014,"SHAWANO",24.5069407334684,56,0.88234682,0.867,NA,1
325400,"BLUEGILL",2014,"SHAWANO",66.5117377309953,152,0.88234682,0.867,NA,1
325400,"YELLOW PERCH",2014,"SHAWANO",27.1291336821306,62,0.88234682,0.867,NA,1
326400,"BLACK CRAPPIE",2009,"SHAWANO",14.446916127108,73,1.95110494,1.667,NA,1
326400,"BLACK CRAPPIE",2016,"SHAWANO",3.03229895485106,14,1.78333477,1.75,NA,1
326400,"BLUEGILL",2009,"SHAWANO",12.0732722731057,61,1.95110494,1.667,NA,1
326400,"BLUEGILL",2016,"SHAWANO",12.5579430076926,58,1.78333477,1.75,NA,1
326400,"YELLOW PERCH",2009,"SHAWANO",5.93410963500565,30,1.95110494,1.667,NA,1
326400,"YELLOW PERCH",2016,"SHAWANO",11.4767544459219,53,1.78333477,1.75,NA,1
327800,"BLACK CRAPPIE",2015,"SHAWANO",4.28125815551717,31,2.7961695,2.533,NA,1
327800,"BLUEGILL",2015,"SHAWANO",87.1288851330359,631,2.7961695,2.533,NA,1
327800,"YELLOW PERCH",2015,"SHAWANO",1.65906520685498,12,2.7961695,2.533,NA,1
329900,"BLACK CRAPPIE",2015,"SHAWANO",1.9138280288814,12,2.4233469,2.525,NA,1
329900,"BLUEGILL",2015,"SHAWANO",72.0171001777126,452,2.4233469,2.525,NA,1
329900,"YELLOW PERCH",2015,"SHAWANO",1.59071420582351,10,2.4233469,2.525,NA,1
336400,"BLACK CRAPPIE",2009,"LANGLADE",1.30488274696459,7,2.07537914,2.05,NA,1
336400,"BLUEGILL",2009,"LANGLADE",120.552524637429,648,2.07537914,2.05,NA,1
336400,"YELLOW PERCH",2009,"LANGLADE",5.95275081710515,32,2.07537914,2.05,NA,1
337600,"BLACK CRAPPIE",2016,"LANGLADE",3.5356108715374,17,1.85789929,1.7,NA,1
337600,"BLUEGILL",2016,"LANGLADE",53.8233064486063,259,1.85789929,1.7,NA,1
337600,"YELLOW PERCH",2016,"LANGLADE",4.57330334174258,22,1.85789929,1.7,NA,1
345100,"BLACK CRAPPIE",2016,"SHAWANO",4.98340934793145,15,1.16196377,1,NA,1
345100,"BLUEGILL",2016,"SHAWANO",202.026917866952,608,1.16196377,1,NA,1
345100,"YELLOW PERCH",2016,"SHAWANO",12.6262940087241,38,1.16196377,1,NA,1
348700,"BLUEGILL",2003,"LANGLADE",0.565449190351324,1,0.6835081,0.867,NA,1
348700,"YELLOW PERCH",2003,"LANGLADE",73.4338300172742,130,0.6835081,0.867,NA,1
350200,"YELLOW PERCH",2014,"LANGLADE",11.1225719860315,29,1.00662102,2.033,NA,1
350200,"YELLOW PERCH",2015,"LANGLADE",41.0106006188872,66,0.621371,1.983,NA,1
379300,"BLACK CRAPPIE",2008,"LANGLADE",1.70877502578697,10,2.26179044,2.083,NA,1
379300,"BLUEGILL",2008,"LANGLADE",11.4394720817229,67,2.26179044,2.083,NA,1
379300,"YELLOW PERCH",2008,"LANGLADE",0.173984366261946,1,2.26179044,2.083,NA,1
388100,"BLACK CRAPPIE",2012,"FOREST",1.46022593112705,125,33.0569372,18.117,NA,1
388100,"YELLOW PERCH",2012,"FOREST",0.105633365230467,9,33.0569372,18.117,NA,1
388500,"BLACK CRAPPIE",2012,"FOREST",2.49791840133222,88,13.58938377,7.533,NA,1
388500,"YELLOW PERCH",2012,"FOREST",0.111847092596965,4,13.58938377,7.533,NA,1
389300,"BLACK CRAPPIE",2012,"LANGLADE",0.136702002062957,1,2.87073402,2.35,NA,1
389300,"BLUEGILL",2012,"LANGLADE",14.1238023040501,105,2.87073402,2.35,NA,1
389300,"YELLOW PERCH",2012,"LANGLADE",0.267190276759417,2,2.87073402,2.35,NA,1
392100,"BLACK CRAPPIE",2000,"FOREST",5.24438589732437,81,5.9651616,4.367,NA,1
392100,"BLUEGILL",2000,"FOREST",4.27504442815067,66,5.9651616,4.367,NA,1
392100,"YELLOW PERCH",2000,"FOREST",10.7435346166752,166,5.9651616,4.367,NA,1
394400,"BLACK CRAPPIE",2001,"FOREST",0.0807784557644749,4,19.6353236,10.717,NA,1
394400,"YELLOW PERCH",2001,"FOREST",0.254762822026421,13,19.6353236,10.717,NA,1
397100,"BLACK CRAPPIE",2008,"LANGLADE",1.75227111735245,25,5.51777448,4.267,NA,1
397100,"BLUEGILL",2008,"LANGLADE",4.48009743124511,64,5.51777448,4.267,NA,1
397100,"YELLOW PERCH",2008,"LANGLADE",0.627586464016305,9,5.51777448,4.267,NA,1
399200,"BLACK CRAPPIE",2008,"LANGLADE",3.75930505673133,88,9.03473434,6.733,NA,1
399200,"BLUEGILL",2008,"LANGLADE",3.37405396000845,79,9.03473434,6.733,NA,1
399200,"YELLOW PERCH",2008,"LANGLADE",7.26384729143624,170,9.03473434,6.733,NA,1
406400,"BLACK CRAPPIE",2000,"FOREST",1.2986690195981,48,14.291533,7.1,NA,1
406400,"BLUEGILL",2000,"FOREST",5.43079771831931,201,14.291533,7.1,NA,1
406400,"BLUEGILL",2014,"FOREST",0.205053003094436,1,1.88275413,1.217,NA,1
406400,"YELLOW PERCH",2000,"FOREST",1.72741620788646,64,14.291533,7.1,NA,1
406400,"YELLOW PERCH",2014,"FOREST",1.02526501547218,5,1.88275413,1.217,NA,1
415000,"BLACK CRAPPIE",2004,"SHAWANO",0.789143375545255,4,1.95731865,1.683,NA,1
415000,"BLACK CRAPPIE",2008,"SHAWANO",6.1143077286341,31,1.95731865,1.8,NA,1
415000,"BLACK CRAPPIE",2014,"SHAWANO",34.1755005157394,55,0.621371,0.633,NA,1
415000,"BLACK CRAPPIE",2016,"SHAWANO",4.55466215964308,23,1.95110494,1.817,NA,1
415000,"BLUEGILL",2004,"SHAWANO",20.5177277641766,104,1.95731865,1.683,NA,1
415000,"BLUEGILL",2008,"SHAWANO",36.2943815477152,184,1.95731865,1.8,NA,1
415000,"BLUEGILL",2014,"SHAWANO",100.041010600619,161,0.621371,0.633,NA,1
415000,"BLUEGILL",2016,"SHAWANO",18.2062211838393,92,1.95110494,1.817,NA,1
415000,"YELLOW PERCH",2004,"SHAWANO",2.95773422645308,15,1.95731865,1.683,NA,1
415000,"YELLOW PERCH",2008,"SHAWANO",5.32516435308884,27,1.95731865,1.8,NA,1
415000,"YELLOW PERCH",2014,"SHAWANO",29.8258913591907,48,0.621371,0.633,NA,1
415000,"YELLOW PERCH",2016,"SHAWANO",27.5081710514869,139,1.95110494,1.817,NA,1
417400,"BLACK CRAPPIE",2011,"OCONTO",0.105633365230467,1,3.728226,3.2,NA,1
417400,"BLUEGILL",2011,"OCONTO",14.1859395777151,137,3.728226,3.2,NA,1
417400,"YELLOW PERCH",2011,"OCONTO",0.105633365230467,1,3.728226,3.2,NA,1
417900,"BLUEGILL",2008,"OCONTO",5.98381945393764,57,3.67851632,4.067,NA,1
417900,"BLUEGILL",2016,"OCONTO",18.5169075521642,76,1.58449605,1.3,NA,1
417900,"YELLOW PERCH",2008,"OCONTO",3.36162650527545,32,3.67851632,4.067,NA,1
417900,"YELLOW PERCH",2016,"OCONTO",1.95111039308039,8,1.58449605,1.3,NA,1
418300,"BLACK CRAPPIE",2007,"OCONTO",0.391464824089378,2,1.9883872,1.533,NA,1
418300,"BLUEGILL",2007,"OCONTO",5.82847626977519,30,1.9883872,1.533,NA,1
418300,"YELLOW PERCH",2007,"OCONTO",2.91423813488759,15,1.9883872,1.533,NA,1
418700,"BLUEGILL",2008,"OCONTO",3.98299924192526,66,6.39390759,6.283,NA,1
418700,"BLUEGILL",2016,"OCONTO",19.5732412044689,126,2.485484,1.833,NA,1
425600,"BLUEGILL",2015,"OCONTO",38.525109672288,93,0.9320565,0.833,NA,1
427900,"BLACK CRAPPIE",2016,"OCONTO",0.416319733555371,1,0.9320565,0.817,NA,1
427900,"BLUEGILL",2016,"OCONTO",8.69921831309729,21,0.9320565,0.817,NA,1
427900,"YELLOW PERCH",2016,"OCONTO",2.48549094659923,6,0.9320565,0.817,NA,1
428100,"BLUEGILL",2016,"OCONTO",5.28166826152336,17,1.242742,1,NA,1
428100,"YELLOW PERCH",2016,"OCONTO",0.621372736649807,2,1.242742,1,NA,1
439500,"BLACK CRAPPIE",2010,"OCONTO",1.55343184162452,8,1.9883872,1.75,NA,1
439500,"BLUEGILL",2010,"OCONTO",3.49832850733841,18,1.9883872,1.75,NA,1
439500,"YELLOW PERCH",2010,"OCONTO",0.584090372450818,3,1.9883872,1.75,NA,1
439800,"BLUEGILL",2008,"OCONTO",0.596517827183814,14,9.04094805,8.217,NA,1
439800,"BLUEGILL",2014,"OCONTO",5.28166826152336,34,2.485484,1.95,NA,1
439800,"YELLOW PERCH",2008,"OCONTO",0.0434960915654865,1,9.04094805,8.217,NA,1
439800,"YELLOW PERCH",2014,"OCONTO",0.155343184162452,1,2.485484,1.95,NA,1
446600,"BLUEGILL",2014,"OCONTO",4.25640324605118,27,2.44820174,1.65,NA,1
446600,"YELLOW PERCH",2014,"OCONTO",0.155343184162452,1,2.44820174,1.65,NA,1
447000,"BLUEGILL",2016,"OCONTO",4.38689152074764,12,1.0563307,1.083,NA,1
447000,"YELLOW PERCH",2016,"OCONTO",6.21372736649807,17,1.0563307,1.083,NA,1
448200,"BLACK CRAPPIE",2003,"OCONTO",0.727006101880274,7,3.728226,3.233,NA,1
448200,"BLACK CRAPPIE",2012,"OCONTO",0.310686368324903,1,1.242742,1,NA,1
448200,"BLUEGILL",2012,"OCONTO",10.8740228913716,35,1.242742,1,NA,1
448200,"YELLOW PERCH",2003,"OCONTO",0.416319733555371,4,3.728226,3.233,NA,1
448200,"YELLOW PERCH",2012,"OCONTO",0.310686368324903,1,1.242742,1,NA,1
455300,"BLACK CRAPPIE",2009,"OCONTO",0.776715920812258,1,0.4970968,0.567,NA,1
455300,"BLUEGILL",2009,"OCONTO",104.079933388843,134,0.4970968,0.567,NA,1
455300,"YELLOW PERCH",2009,"OCONTO",1.55343184162452,2,0.4970968,0.567,NA,1
455500,"BLUEGILL",2014,"OCONTO",5.28166826152336,17,1.242742,1.267,NA,1
455500,"YELLOW PERCH",2014,"OCONTO",9.94196378639691,32,1.242742,1.267,NA,1
456765,"BLACK CRAPPIE",2015,"OCONTO",7.04015310624231,17,0.9320565,0.8,NA,1
456765,"BLUEGILL",2015,"OCONTO",63.7963388718357,154,0.9320565,0.8,NA,1
456765,"YELLOW PERCH",2015,"OCONTO",5.38730162675382,13,0.9320565,0.8,NA,1
459900,"BLACK CRAPPIE",2016,"OCONTO",1.49750829532603,2,0.51573793,0.417,NA,1
459900,"BLUEGILL",2016,"OCONTO",136.25461369257,182,0.51573793,0.417,NA,1
459900,"YELLOW PERCH",2016,"OCONTO",4.4925248859781,6,0.51573793,0.417,NA,1
461300,"BLACK CRAPPIE",2009,"OCONTO",0.310686368324903,1,1.242742,1.2,NA,1
461300,"BLUEGILL",2009,"OCONTO",23.3014776243678,75,1.242742,1.2,NA,1
461300,"YELLOW PERCH",2009,"OCONTO",0.621372736649807,2,1.242742,1.2,NA,1
462000,"BLACK CRAPPIE",2008,"OCONTO",0.310686368324903,1,1.242742,1.167,NA,1
462000,"BLUEGILL",2008,"OCONTO",52.1953098785838,168,1.242742,1.167,NA,1
462000,"BLUEGILL",2016,"OCONTO",18.9891508320181,110,2.2369356,1.6,NA,1
462000,"YELLOW PERCH",2008,"OCONTO",4.34960915654865,14,1.242742,1.167,NA,1
462000,"YELLOW PERCH",2016,"OCONTO",1.37944747536257,8,2.2369356,1.6,NA,1
464700,"BLACK CRAPPIE",2012,"OCONTO",0.310686368324903,1,1.242742,1.1,NA,1
464700,"BLUEGILL",2012,"OCONTO",32.3113823057899,104,1.242742,1.1,NA,1
464700,"YELLOW PERCH",2012,"OCONTO",4.34960915654865,14,1.242742,1.1,NA,1
465000,"BLACK CRAPPIE",2016,"OCONTO",0.621372736649807,4,2.485484,2.033,NA,1
465000,"BLUEGILL",2016,"OCONTO",53.5933985360458,345,2.485484,2.033,NA,1
465000,"YELLOW PERCH",2016,"OCONTO",1.55343184162452,10,2.485484,2.033,NA,1
466700,"BLACK CRAPPIE",2015,"OCONTO",0.310686368324903,2,2.485484,2.117,NA,1
466700,"BLUEGILL",2015,"OCONTO",20.3499571252812,131,2.485484,2.117,NA,1
466700,"YELLOW PERCH",2015,"OCONTO",0.155343184162452,1,2.485484,2.117,NA,1
470600,"BLACK CRAPPIE",2009,"OCONTO",0.316900095691401,1,1.22410087,1.217,NA,1
470600,"BLUEGILL",2009,"OCONTO",33.1191668634347,105,1.22410087,1.217,NA,1
470600,"YELLOW PERCH",2009,"OCONTO",3.78415996619732,12,1.22410087,1.217,NA,1
471200,"BLACK CRAPPIE",2009,"OCONTO",0.478457007220351,3,2.4233469,2.317,NA,1
471200,"BLUEGILL",2009,"OCONTO",5.57371344774877,35,2.4233469,2.317,NA,1
471200,"YELLOW PERCH",2009,"OCONTO",16.8889109821417,106,2.4233469,2.317,NA,1
487500,"BLUEGILL",2014,"OCONTO",14.6022593112705,94,2.485484,2,NA,1
487500,"YELLOW PERCH",2014,"OCONTO",0.155343184162452,1,2.485484,2,NA,1
491800,"BLUEGILL",2011,"OCONTO",1.24274547329961,5,1.5534275,1.35,NA,1
491800,"YELLOW PERCH",2011,"OCONTO",0.248549094659923,1,1.5534275,1.35,NA,1
494200,"BLUEGILL",2015,"LANGLADE",8.32018094374091,49,2.27421786,2.033,NA,1
494200,"YELLOW PERCH",2015,"LANGLADE",2.03810257621137,12,2.27421786,2.033,NA,1
496300,"BLUEGILL",2016,"LANGLADE",5.28166826152336,17,1.242742,0.717,NA,1
496300,"YELLOW PERCH",2016,"LANGLADE",1.86411820994942,6,1.242742,0.717,NA,1
498800,"BLACK CRAPPIE",2009,"MARINETTE",1.17439447226813,3,0.98797989,1.083,NA,1
498800,"BLUEGILL",2009,"MARINETTE",23.4506070811637,60,0.98797989,1.083,NA,1
499000,"BLUEGILL",2009,"OCONTO",9.94196378639691,16,0.621371,0.75,NA,1
499000,"YELLOW PERCH",2009,"OCONTO",0.621372736649807,1,0.621371,0.75,NA,1
501200,"BLUEGILL",2013,"MARINETTE",4.97098189319845,16,1.242742,1.067,NA,1
501200,"YELLOW PERCH",2013,"MARINETTE",1.24274547329961,4,1.242742,1.067,NA,1
504300,"BLACK CRAPPIE",2016,"OCONTO",6.99044328731033,18,0.9941936,0.833,NA,1
504300,"BLUEGILL",2016,"OCONTO",19.0326469235836,49,0.9941936,0.833,NA,1
515100,"BLACK CRAPPIE",2008,"OCONTO",0.478457007220351,5,4.0389115,3.933,NA,1
515100,"BLACK CRAPPIE",2013,"OCONTO",0.093205910497471,1,4.0389115,3.25,NA,1
515100,"BLUEGILL",2008,"OCONTO",4.29989933761666,45,4.0389115,3.933,NA,1
515100,"BLUEGILL",2013,"OCONTO",11.7563721774143,123,4.0389115,3.25,NA,1
515100,"YELLOW PERCH",2008,"OCONTO",2.87074204332211,30,4.0389115,3.933,NA,1
515100,"YELLOW PERCH",2013,"OCONTO",3.72823641989884,39,4.0389115,3.25,NA,1
516800,"BLACK CRAPPIE",2011,"MARINETTE",0.621372736649807,4,2.485484,2.35,NA,1
516800,"BLUEGILL",2011,"MARINETTE",6.05838418233562,39,2.485484,2.35,NA,1
516800,"YELLOW PERCH",2011,"MARINETTE",0.466029552487355,3,2.485484,2.35,NA,1
518300,"BLACK CRAPPIE",2009,"MARINETTE",0.310686368324903,1,1.242742,1.333,NA,1
518300,"BLUEGILL",2009,"MARINETTE",14.2915729429456,46,1.242742,1.333,NA,1
518300,"YELLOW PERCH",2009,"MARINETTE",7.14578647147278,23,1.242742,1.333,NA,1
519700,"BLACK CRAPPIE",2015,"OCONTO",1.03769247020518,2,0.7456452,0.667,NA,1
519700,"BLUEGILL",2015,"OCONTO",18.6411820994942,36,0.7456452,0.667,NA,1
521400,"BLUEGILL",2008,"MARINETTE",89.1234916176818,251,1.08739925,1,NA,1
521400,"YELLOW PERCH",2008,"MARINETTE",1.77712602681845,5,1.08739925,1,NA,1
523300,"BLACK CRAPPIE",2012,"MARINETTE",1.86411820994942,6,1.242742,1.117,NA,1
523300,"BLUEGILL",2012,"MARINETTE",20.8159866777685,67,1.242742,1.117,NA,1
523300,"YELLOW PERCH",2012,"MARINETTE",0.621372736649807,2,1.242742,1.117,NA,1
524700,"BLUEGILL",2008,"MARINETTE",24.5442230976674,79,1.242742,1.117,NA,1
524700,"YELLOW PERCH",2008,"MARINETTE",0.310686368324903,1,1.242742,1.117,NA,1
525900,"BLACK CRAPPIE",2009,"MARINETTE",5.28166826152336,68,4.970968,4.45,NA,1
525900,"BLACK CRAPPIE",2014,"MARINETTE",0.205053003094436,2,3.728226,2.867,NA,1
525900,"BLUEGILL",2009,"MARINETTE",9.94196378639691,128,4.970968,4.45,NA,1
525900,"BLUEGILL",2014,"MARINETTE",15.5343184162452,150,3.728226,2.867,NA,1
525900,"YELLOW PERCH",2009,"MARINETTE",0.0807784557644749,1,4.970968,4.45,NA,1
525900,"YELLOW PERCH",2014,"MARINETTE",1.65906520685498,16,3.728226,2.867,NA,1
530500,"BLUEGILL",2013,"MARINETTE",19.2314861993115,65,1.3048791,1.05,NA,1
530500,"YELLOW PERCH",2013,"MARINETTE",4.73486025327153,16,1.3048791,1.05,NA,1
531300,"BLACK CRAPPIE",2015,"MARINETTE",0.776715920812258,5,2.485484,2.067,NA,1
531300,"BLUEGILL",2015,"MARINETTE",3.88357960406129,25,2.485484,2.067,NA,1
531300,"YELLOW PERCH",2015,"MARINETTE",4.815638709036,31,2.485484,2.067,NA,1
533300,"BLACK CRAPPIE",2015,"MARINETTE",1.24274547329961,8,2.485484,1.967,NA,1
533300,"BLUEGILL",2015,"MARINETTE",2.17480457827432,14,2.485484,1.967,NA,1
