"WBIC","lakeChar_Area","lakeChar_Length","lakeChar_MaxDepth","lakeChar_MeanDepth","fishCommunity_Panfish","fishCommunity_Catfish","fishCommunity_Largemouth.Bass","fishCommunity_Musky","fishCommunity_Northern.Pike","fishCommunity_Rainbow.Smelt","fishCommunity_Smallmouth.Bass","fishCommunity_Sturgeon","fishCommunity_Trout","fishCommunity_Walleye","fishCommunity_Cisco","fishingPressure_Landlock","fishingPressure_publicaccess","fishingPressure_accessscore","fishingPressure_mroad_dist","fishingPressure_Road_dist","lakeOrder","riparian_Developed","riparian_Barren","riparian_Forest","riparian_Shrub.Scrub","riparian_Grassland","riparian_Pasture.hay","riparian_CultivatedCrops","riparian_Wetlands","waterQuality_Secchi_satellite","waterQuality_Secchi","waterQuality_Calcium","waterQuality_Conductance","waterQuality_Alkalinity","waterQuality_pH","waterQuality_totalP","waterQuality_Color","waterQuality_Dissolved.OC","waterQuality_MEI","watershed_HUC10","watershed_Developed","watershed_Barren","watershed_Forest","watershed_Shrub.Scrub","watershed_Grassland","watershed_Pasture.hay","watershed_Cultivated","watershed_Wetlands"
5900,57313.84364,1163.478265,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.139073,71.947377,-3,0.352517986,0,0.294964029,0,0,0,0.28057554,0.071942446,NA,3,NA,500,160,8,NA,4,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
6100,22092.34002,591.236672,5.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.043129,38.718927,1,0.277777778,0,0.5,0,0,0,0,0.222222222,0.718116929,1,NA,999,175,8.2,NA,5,NA,555,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7100,51328.65915,976.138625,2.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.762719,47.951656,1,0.39869281,0,0.209150327,0,0,0.235294118,0.091503268,0.065359477,0.777102968,2.4,NA,595,205,7.2,NA,4,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7300,66622.3546,2041.153874,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.33314,119.275059,2,0.157360406,0,0.45177665,0,0,0,0.076142132,0.314720812,1.340918965,1.2,NA,999,272,8.4,NA,5,NA,555,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7500,51247.01212,873.523416,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.927738,90.6967,-3,0.084033613,0,0.579831933,0,0,0.008403361,0,0.327731092,1.630013868,3.3,NA,838,147,8.5,NA,4,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7600,14774.6907,670.754318,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.912644,33.488099,2,0.356521739,0,0.008695652,0,0,0.208695652,0,0.426086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7900,30153.80158,752.647474,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129.419834,78.482138,-3,0,0,0.32173913,0,0,0,0.086956522,0.591304348,NA,2,NA,590,240,7.8,NA,1,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8000,87955.55459,1454.188419,6,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,3,19.644497,18.045744,-3,0.201970443,0,0,0,0,0.246305419,0.472906404,0.078817734,0.960657164,3,NA,199,114,8.1,NA,4,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
8100,126490.4054,1934.396018,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,396.340244,16.545342,-3,0.28,0,0.382222222,0,0,0.08,0,0.257777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8200,16804.13994,715.524402,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,550.353381,201.45832,-3,0,0,0.645454545,0,0,0,0.018181818,0.336363636,NA,1,NA,195,60,7.9,NA,4,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8300,53584.12327,890.063585,1.8,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2651.448288,97.3713,-2,0,0,0.528985507,0,0,0,0,0.471014493,1.056099058,1.5,NA,407,210,8.4,NA,4,NA,678.3333333,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8400,36760.8151,750.215892,3,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3026.355577,68.219604,-2,0,0,0.628099174,0,0,0,0,0.371900826,2.764216142,3,NA,228,129,8,NA,4,2,126.6666667,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8500,21974.49057,640.206574,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107.414318,84.920697,-3,0.424528302,0,0.396226415,0,0,0.179245283,0,0,NA,1,NA,491,194,8.4,NA,5,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
8900,204752.758,2169.724124,9.6,3.3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2047.963952,13.512342,-3,0.269372694,0,0.63099631,0.033210332,0,0,0,0.066420664,3.159147903,3.6,25.7125,219.0422535,145,8.48556338,NA,4,NA,66.37644045,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
9100,17055.54095,1538.343466,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161.32668,160.670352,-3,0.006289308,0,0.006289308,0,0,0,0,0.987421384,NA,4,NA,483,210,8.4,NA,1,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
9200,33996.56637,1128.408457,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,778.525317,139.066674,-3,0,0,0.014184397,0,0,0,0.021276596,0.964539007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
9300,22320.37912,1024.876511,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1910.38264,84.267884,-3,0.483050847,0,0.279661017,0.016949153,0,0.016949153,0.203389831,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
9500,67340.07903,1544.363942,9,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,401.214308,135.023933,-2,0,0,0.025906736,0,0,0,0.041450777,0.932642487,3.010629307,3.6,NA,479,225,8.3,NA,1,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
9600,83266.81968,2202.566863,2.1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3008.680263,59.806234,-2,0.041984733,0,0.091603053,0.003816794,0,0.019083969,0.053435115,0.790076336,1.578033119,2.1,NA,322,158,7.5,NA,1,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
9700,14173.55049,797.12137,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162.24592,16.568015,-3,0.858695652,0,0,0,0,0,0,0.141304348,NA,NA,NA,456,136,8.3,NA,5,NA,NA,404000305,0.985530928,0,0.005586515,0.000237427,0.002946886,0,0,0.005698244
10000,10240.37267,433.485015,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.728845,33.184114,-3,1,0,0,0,0,0,0,0,NA,1,NA,360,117,7.6,NA,5,NA,NA,404000305,0.985530928,0,0.005586515,0.000237427,0.002946886,0,0,0.005698244
10100,13003.21112,807.831467,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77.979906,87.34183,-3,0.569105691,0,0.430894309,0,0,0,0,0,NA,2,NA,738,192,8.2,NA,4,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
10200,81535.26337,1098.107469,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2632.84807,137.772261,-2,0,0,0.707006369,0,0.012738854,0,0,0.280254777,2.240486321,1.5,NA,107,49,7.2,NA,4,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
10300,17552.29086,1484.877373,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.611444,18.834281,-3,1,0,0,0,0,0,0,0,NA,5,NA,422,130,8.9,NA,5,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
10400,19377.43501,602.184042,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,873.857807,50.245956,-3,0.08411215,0,0.214953271,0,0,0.205607477,0.373831776,0.121495327,NA,2,NA,495,211,8.8,NA,4,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
10500,11619.34656,477.582404,1.8,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,233.766681,44.949605,-3,0.836956522,0,0,0,0,0,0,0.163043478,NA,NA,NA,427,119,8.6,NA,5,NA,284.6666667,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
10600,11263.8829,460.995073,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1435.674336,24.330175,-3,0.136363636,0,0.125,0,0,0,0.613636364,0.125,NA,1,NA,347,181,8.4,NA,1,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
11000,12913.81278,666.169903,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89.174932,99.095522,-3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
11300,14698.0897,493.644403,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1285.359098,87.440566,-3,0.333333333,0,0.35483871,0.172043011,0,0.139784946,0,0,NA,2,NA,778,262,8,NA,4,NA,NA,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
11400,15013.06032,486.494712,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073.40678,27.579545,-3,0.098901099,0,0.131868132,0,0,0.230769231,0.065934066,0.472527473,NA,2,NA,392,180,8.2,NA,1,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
11600,29786.78633,740.518526,2.4,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,251.840491,250.64133,-3,0,0,0.586206897,0,0,0,0.413793103,0,2.013117978,1.2,NA,241,200,9.1,NA,4,NA,133.8888889,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
11800,25628.2568,579.050123,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,853.812688,343.98798,-3,0,0,0.494623656,0,0.032258065,0.010752688,0.344086022,0.11827957,NA,2,NA,146,61,7.3,NA,4,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
11900,42449.16582,783.974795,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2884.779482,86.173827,-2,0.06185567,0,0.659793814,0,0,0,0,0.278350515,0.222690833,0.6,NA,382,93,8.5,NA,4,NA,636.6666667,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
12000,123208.0912,1283.891849,1.2,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1689.04199,181.803257,-2,0,0,0,0,0,0,0,1,1.167848408,0.9,NA,150,100,7.5,NA,1,NA,166.6666667,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
12025,118657.6668,1689.787267,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,218.69179,15.171165,-3,0.044692737,0,0.61452514,0.100558659,0,0,0.240223464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
12100,25727.28843,912.58797,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,316.994361,20.372927,2,0.098039216,0,0.215686275,0,0,0,0.176470588,0.509803922,NA,2,NA,298,136,8.4,NA,4,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
12370,10303.47643,426.869056,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954.733862,5.700859,-3,0,0,0.488095238,0,0.035714286,0,0.107142857,0.369047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
12400,16791.00842,509.033044,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,814.330487,168.552044,-3,0,0,0.043478261,0,0.032608696,0.02173913,0,0.902173913,NA,1,NA,108,79,7.2,NA,1,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
12500,51754.04336,1067.776687,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,671.48166,41.854253,-3,0.068965517,0,0.179310345,0,0,0,0.255172414,0.496551724,0.55771645,1.5,NA,374,179,8.5,NA,4,NA,NA,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
12600,50879.68115,963.139264,3.9,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,446.84896,178.152053,-3,0,0,0.020134228,0,0.033557047,0.080536913,0.10738255,0.758389262,2.68420182,2.7,NA,361,168,8.5,NA,4,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
12800,17568.34557,629.466355,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.050338,150.84448,-3,0,0,0.148514851,0,0.069306931,0,0.247524752,0.534653465,NA,2,NA,469,212,8,NA,4,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
13000,25810.65937,704.996031,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116.617743,115.463478,-2,0.086206897,0,0.017241379,0,0,0,0.017241379,0.879310345,NA,4,NA,468,246,8.2,NA,4,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
13500,139436.5403,1684.126099,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1556.643434,66.853654,-3,0.017094017,0,0.293447293,0,0,0.222222222,0.168091168,0.299145299,NA,NA,NA,55,16,6.9,NA,4,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
13600,10871.93529,384.110925,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,320.186238,319.575387,-2,0,0,0.139240506,0,0,0,0.050632911,0.810126582,NA,1,NA,79,32,6.9,NA,1,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
13900,12864.57954,483.20465,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,537.573685,536.575449,-2,0,0,0.411764706,0,0,0,0,0.588235294,NA,1,NA,93,26,6.5,NA,1,NA,NA,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
14400,39889.02955,1761.480728,1.5,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.600499,62.146309,-3,1,0,0,0,0,0,0,0,0.440631643,0.6,NA,340,124,8.4,NA,5,NA,377.7777778,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
14700,16259.46558,697.759686,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.164868,4.058743,2,0.5,0,0.392857143,0,0,0,0,0.107142857,NA,1,NA,999,264,8.3,NA,4,NA,NA,404000201,0.699621475,0.005102723,0.113657642,0.011409234,0.032194639,0.03698304,0.067164678,0.033866567
15500,32613.96583,1320.88973,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91.364221,48.266399,2,1,0,0,0,0,0,0,0,NA,NA,NA,381,208,8.3,NA,5,NA,NA,404000305,0.985530928,0,0.005586515,0.000237427,0.002946886,0,0,0.005698244
15800,29800.35147,1181.022391,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,173.82622,23.150163,1,0.603174603,0,0.396825397,0,0,0,0,0,NA,1,NA,847,124,8.6,NA,4,NA,NA,404000305,0.985530928,0,0.005586515,0.000237427,0.002946886,0,0,0.005698244
16600,15793.61446,588.220533,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.831232,60.950712,-3,0.769230769,0,0,0,0,0,0,0.230769231,NA,1,NA,400,132,8.1,NA,1,NA,NA,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
19900,20829.62639,1247.335316,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.986938,30.727278,-3,1,0,0,0,0,0,0,0,NA,1,NA,999,200,8,NA,5,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
20300,225204.1607,2904.905858,3.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.419206,13.299151,0,0.557003257,0,0.094462541,0,0,0,0,0.348534202,0.659514322,0.85,32,419,142.5,8,0.051,5,NA,NA,404000306,0.508455101,0.002424795,0.100770528,0.008575496,0.014111549,0.07719425,0.214076909,0.074391372
21700,51617.38378,2309.214108,2.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.823841,0,4,0.615384615,0,0.076923077,0,0,0,0.011538462,0.296153846,0.825977762,0.9,NA,614,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
22100,598968.9782,10286.50108,1.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.852259,221.396334,-2,0,0,0,0,0,0,0,1,1.693483182,1.2,NA,293,154,7.8,NA,2,NA,325.5555556,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
22200,157929.1422,2765.983105,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342.043393,984.002556,-2,0,0,0,0,0,0.019292605,0,0.980707395,1.141593978,1.5,NA,631,281,7.9,NA,4,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
22300,13748.23727,675.36403,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295.506049,755.960646,-2,0,0,0,0,0,0,0,1,NA,1,NA,333,167,7.9,NA,1,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
22800,13464.9723,469.797118,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.01362,432.819956,0,0.022988506,0,0.034482759,0,0,0,0,0.942528736,NA,2,NA,483,210,8.4,NA,4,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
23700,11301.97275,457.886981,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.364186,182.886286,-1,0,0,0.195402299,0,0.045977011,0.045977011,0.712643678,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24000,51895.33674,874.969727,10.2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,118.800684,53.009563,2,0.439393939,0,0,0,0,0.25,0.310606061,0,0.909885052,2.4,NA,532,209,8.6,NA,4,NA,104.3137255,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24100,48481.80373,898.476242,14.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.473215,77.372337,1,0.1328125,0,0.2578125,0,0,0.2265625,0.328125,0.0546875,1.068580386,2.7,NA,444,192,8.9,NA,4,NA,61.66666667,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24300,10293.93944,578.33952,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819.879039,339.630569,-3,0,0,0.430232558,0.11627907,0,0.209302326,0.081395349,0.162790698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24500,16095.87227,494.543547,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.247736,152.449374,0,0,0,0.532608696,0,0,0.065217391,0,0.402173913,NA,3,NA,570,8,8,NA,4,1.9,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24700,33392.33996,935.419969,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.166927,54.535051,2,0.062068966,0,0.55862069,0,0,0.110344828,0.055172414,0.213793103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
24900,17674.35505,799.020057,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.388302,96.786724,2,0.0625,0,0.5625,0.027777778,0,0,0,0.347222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
